t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
171,19.212233,23.254430,22.254430,24.254430,sell_to_mm,22.254430,2,-189.508438,-151.083972,0.040000,-151.123972
172,20.532450,22.381203,21.381203,23.381203,sell_to_mm,21.381203,3,-210.889641,-149.292292,0.090000,-149.382292
173,18.707982,21.309984,20.309984,22.309984,none,0.000000,3,-210.889641,-154.765695,0.090000,-154.855695
174,18.107792,15.377986,14.377986,16.377986,none,0.000000,3,-210.889641,-156.566266,0.090000,-156.656266
175,17.786294,11.933813,10.933813,12.933813,buy_from_mm,12.933813,2,-197.955828,-162.383240,0.040000,-162.423240
176,19.775369,18.627001,17.627001,19.627001,none,0.000000,2,-197.955828,-158.405090,0.040000,-158.445090
177,18.359324,14.941200,13.941200,15.941200,buy_from_mm,15.941200,1,-182.014628,-163.655304,0.010000,-163.665304
178,18.034045,17.589066,16.589066,18.589066,sell_to_mm,16.589066,2,-198.603693,-162.535603,0.040000,-162.575603
179,15.901804,16.604852,15.604852,17.604852,sell_to_mm,15.604852,3,-214.208546,-166.503134,0.090000,-166.593134
180,14.289076,13.642688,12.642688,14.642688,none,0.000000,3,-214.208546,-171.341317,0.090000,-171.431317
181,14.212108,11.026230,10.026230,12.026230,buy_from_mm,12.026230,2,-202.182316,-173.758100,0.040000,-173.798100
182,15.039687,16.276912,15.276912,17.276912,sell_to_mm,15.276912,3,-217.459228,-172.340168,0.090000,-172.430168
183,15.581081,10.993815,9.993815,11.993815,none,0.000000,3,-217.459228,-170.715985,0.090000,-170.805985
184,14.322636,22.326277,21.326277,23.326277,sell_to_mm,21.326277,4,-238.785505,-181.494961,0.160000,-181.654961
185,14.084353,18.650471,17.650471,19.650471,none,0.000000,4,-238.785505,-182.448092,0.160000,-182.608092
186,14.545471,19.799715,18.799715,20.799715,none,0.000000,4,-238.785505,-180.603622,0.160000,-180.763622
187,14.571991,23.176127,22.176127,24.176127,sell_to_mm,22.176127,5,-260.961632,-188.101677,0.250000,-188.351677
188,13.817770,8.911869,7.911869,9.911869,buy_from_mm,9.911869,4,-251.049764,-195.778683,0.160000,-195.938683
189,13.303883,10.868958,9.868958,11.868958,none,0.000000,4,-251.049764,-197.834231,0.160000,-197.994231
190,13.029424,11.612587,10.612587,12.612587,none,0.000000,4,-251.049764,-198.932066,0.160000,-199.092066
191,12.726067,16.285445,15.285445,17.285445,sell_to_mm,15.285445,5,-266.335208,-202.704872,0.250000,-202.954872
192,13.526694,19.702372,18.702372,20.702372,sell_to_mm,18.702372,6,-285.037580,-203.877418,0.360000,-204.237418
193,12.958394,14.688142,13.688142,15.688142,sell_to_mm,13.688142,7,-298.725722,-208.016965,0.490000,-208.506965
194,13.384615,15.026138,14.026138,16.026138,sell_to_mm,14.026138,8,-312.751860,-205.674938,0.640000,-206.314938
195,12.776330,5.438371,4.438371,6.438371,buy_from_mm,6.438371,7,-306.313490,-216.879177,0.490000,-217.369177
196,12.748334,10.590478,9.590478,11.590478,none,0.000000,7,-306.313490,-217.075150,0.490000,-217.565150
197,13.313026,17.234301,16.234301,18.234301,none,0.000000,7,-306.313490,-213.122306,0.490000,-213.612306
198,13.066711,15.330448,14.330448,16.330448,none,0.000000,7,-306.313490,-214.846511,0.490000,-215.336511
199,13.845954,15.527403,14.527403,16.527403,sell_to_mm,14.527403,8,-320.840893,-210.073264,0.640000,-210.713264
200,13.329026,12.699892,11.699892,13.699892,none,0.000000,8,-320.840893,-214.208686,0.640000,-214.848686
201,13.260142,8.406441,7.406441,9.406441,buy_from_mm,9.406441,7,-311.434452,-218.613458,0.490000,-219.103458
202,13.345264,11.026716,10.026716,12.026716,none,0.000000,7,-311.434452,-218.017605,0.490000,-218.507605
203,15.202537,14.994739,13.994739,15.994739,none,0.000000,7,-311.434452,-205.016694,0.490000,-205.506694
204,14.314090,19.195665,18.195665,20.195665,buy_from_mm,20.195665,6,-291.238788,-205.354245,0.360000,-205.714245
205,13.744369,20.905200,19.905200,21.905200,sell_to_mm,19.905200,7,-311.143987,-214.933403,0.490000,-215.423403
206,14.518206,15.153030,14.153030,16.153030,none,0.000000,7,-311.143987,-209.516548,0.490000,-210.006548
207,15.096898,14.349750,13.349750,15.349750,none,0.000000,7,-311.143987,-205.465702,0.490000,-205.955702
208,15.929164,13.379715,12.379715,14.379715,none,0.000000,7,-311.143987,-199.639840,0.490000,-200.129840
209,14.594913,14.076189,13.076189,15.076189,none,0.000000,7,-311.143987,-208.979594,0.490000,-209.469594
210,15.341790,14.106096,13.106096,15.106096,buy_from_mm,15.106096,6,-296.037891,-203.987149,0.360000,-204.347149
211,16.076110,19.930562,18.930562,20.930562,sell_to_mm,18.930562,7,-314.968453,-202.435684,0.490000,-202.925684
212,14.458698,9.009964,8.009964,10.009964,none,0.000000,7,-314.968453,-213.757564,0.490000,-214.247564
213,14.241332,13.922912,12.922912,14.922912,none,0.000000,7,-314.968453,-215.279126,0.490000,-215.769126
214,12.786644,13.335715,12.335715,14.335715,none,0.000000,7,-314.968453,-225.461943,0.490000,-225.951943
215,12.745096,9.550468,8.550468,10.550468,buy_from_mm,10.550468,6,-304.417985,-227.947408,0.360000,-228.307408
216,12.582976,12.621969,11.621969,13.621969,none,0.000000,6,-304.417985,-228.920131,0.360000,-229.280131
217,14.821379,20.639928,19.639928,21.639928,none,0.000000,6,-304.417985,-215.489711,0.360000,-215.849711
218,14.417298,13.517817,12.517817,14.517817,none,0.000000,6,-304.417985,-217.914197,0.360000,-218.274197
219,14.276146,15.273493,14.273493,16.273493,buy_from_mm,16.273493,5,-288.144493,-216.763762,0.250000,-217.013762
220,14.050243,19.074720,18.074720,20.074720,sell_to_mm,18.074720,6,-306.219213,-221.917757,0.360000,-222.277757
221,15.879744,14.141362,13.141362,15.141362,buy_from_mm,15.141362,5,-291.077851,-211.679131,0.250000,-211.929131
222,15.636771,19.642555,18.642555,20.642555,sell_to_mm,18.642555,6,-309.720406,-215.899782,0.360000,-216.259782
223,14.789358,10.500950,9.500950,11.500950,buy_from_mm,11.500950,5,-298.219456,-224.272666,0.250000,-224.522666
224,14.144255,19.726009,18.726009,20.726009,sell_to_mm,18.726009,6,-316.945465,-232.079935,0.360000,-232.439935
225,14.491367,13.155657,12.155657,14.155657,none,0.000000,6,-316.945465,-229.997260,0.360000,-230.357260
226,15.369028,18.305691,17.305691,19.305691,sell_to_mm,17.305691,7,-334.251156,-226.667963,0.490000,-227.157963
227,14.967532,14.877912,13.877912,15.877912,buy_from_mm,15.877912,6,-318.373244,-228.568054,0.360000,-228.928054
228,14.364472,10.285127,9.285127,11.285127,none,0.000000,6,-318.373244,-232.186411,0.360000,-232.546411
229,14.331159,16.378889,15.378889,17.378889,sell_to_mm,15.378889,7,-333.752133,-233.434017,0.490000,-233.924017
230,13.826062,12.799681,11.799681,13.799681,buy_from_mm,13.799681,6,-319.952452,-236.996078,0.360000,-237.356078
231,14.634652,10.131967,9.131967,11.131967,none,0.000000,6,-319.952452,-232.144538,0.360000,-232.504538
232,15.481234,11.080157,10.080157,12.080157,none,0.000000,6,-319.952452,-227.065046,0.360000,-227.425046
233,17.879581,23.778586,22.778586,24.778586,sell_to_mm,22.778586,7,-342.731038,-217.573970,0.490000,-218.063970
234,18.852377,22.797610,21.797610,23.797610,none,0.000000,7,-342.731038,-210.764398,0.490000,-211.254398
235,18.885645,15.036830,14.036830,16.036830,none,0.000000,7,-342.731038,-210.531521,0.490000,-211.021521
236,19.527074,22.475279,21.475279,23.475279,sell_to_mm,21.475279,8,-364.206316,-207.989721,0.640000,-208.629721
237,20.167641,16.454057,15.454057,17.454057,none,0.000000,8,-364.206316,-202.865191,0.640000,-203.505191
238,20.502342,16.081355,15.081355,17.081355,buy_from_mm,17.081355,7,-347.124961,-203.608569,0.490000,-204.098569
239,19.743210,8.946411,7.946411,9.946411,buy_from_mm,9.946411,6,-337.178550,-218.719288,0.360000,-219.079288
240,18.540840,19.386598,18.386598,20.386598,sell_to_mm,18.386598,7,-355.565148,-225.779270,0.490000,-226.269270
241,18.716505,22.522084,21.522084,23.522084,sell_to_mm,21.522084,8,-377.087233,-227.355194,0.640000,-227.995194
242,17.253451,15.114987,14.114987,16.114987,none,0.000000,8,-377.087233,-239.059621,0.640000,-239.699621
243,17.844528,16.923631,15.923631,17.923631,sell_to_mm,15.923631,9,-393.010864,-232.410113,0.810000,-233.220113
244,18.694576,17.471840,16.471840,18.471840,sell_to_mm,16.471840,10,-409.482703,-222.536939,1.000000,-223.536939
245,18.865578,18.363723,17.363723,19.363723,none,0.000000,10,-409.482703,-220.826925,1.000000,-221.826925
246,19.845638,21.907418,20.907418,22.907418,sell_to_mm,20.907418,11,-430.390121,-212.088105,1.210000,-213.298105
247,21.419473,21.194390,20.194390,22.194390,buy_from_mm,22.194390,10,-408.195731,-194.001000,1.000000,-195.001000
248,21.571853,22.254541,21.254541,23.254541,sell_to_mm,21.254541,11,-429.450272,-192.159892,1.210000,-193.369892
249,21.447506,17.876935,16.876935,18.876935,buy_from_mm,18.876935,10,-410.573338,-196.098279,1.000000,-197.098279
250,20.777764,24.613586,23.613586,25.613586,sell_to_mm,23.613586,11,-434.186924,-205.631520,1.210000,-206.841520
251,20.178247,13.562476,12.562476,14.562476,none,0.000000,11,-434.186924,-212.226201,1.210000,-213.436201
252,19.674140,18.500661,17.500661,19.500661,sell_to_mm,17.500661,12,-451.687584,-215.597899,1.440000,-217.037899
253,19.253567,21.734029,20.734029,22.734029,buy_from_mm,22.734029,11,-428.953555,-217.164317,1.210000,-218.374317
254,20.571877,19.020574,18.020574,20.020574,none,0.000000,11,-428.953555,-202.662905,1.210000,-203.872905
255,19.810755,22.622393,21.622393,23.622393,sell_to_mm,21.622393,12,-450.575948,-212.846890,1.440000,-214.286890
256,20.899257,22.025586,21.025586,23.025586,none,0.000000,12,-450.575948,-199.784864,1.440000,-201.224864
257,21.503356,20.239286,19.239286,21.239286,none,0.000000,12,-450.575948,-192.535672,1.440000,-193.975672
258,21.285877,16.133658,15.133658,17.133658,none,0.000000,12,-450.575948,-195.145424,1.440000,-196.585424
259,21.978435,17.841108,16.841108,18.841108,buy_from_mm,18.841108,11,-431.734840,-189.972052,1.210000,-191.182052
260,20.527000,12.876243,11.876243,13.876243,sell_to_mm,11.876243,12,-443.611083,-197.287080,1.440000,-198.727080
261,20.768735,19.799693,18.799693,20.799693,sell_to_mm,18.799693,13,-462.410776,-192.417223,1.690000,-194.107223
262,22.159111,23.698923,22.698923,24.698923,sell_to_mm,22.698923,14,-485.109698,-174.882146,1.960000,-176.842146
263,22.224881,18.609971,17.609971,19.609971,buy_from_mm,19.609971,13,-465.499727,-176.576281,1.690000,-178.266281
264,23.885160,25.656920,24.656920,26.656920,sell_to_mm,24.656920,14,-490.156648,-155.764411,1.960000,-157.724411
265,23.257639,25.489266,24.489266,26.489266,sell_to_mm,24.489266,15,-514.645914,-165.781327,2.250000,-168.031327
266,23.600285,29.897804,28.897804,30.897804,none,0.000000,15,-514.645914,-160.641633,2.250000,-162.891633
267,24.885066,21.515592,20.515592,22.515592,buy_from_mm,22.515592,14,-492.130322,-143.739402,1.960000,-145.699402
268,24.629049,21.236730,20.236730,22.236730,buy_from_mm,22.236730,13,-469.893592,-149.715958,1.690000,-151.405958
