t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1529,48.861800,50.242954,48.742954,51.742954,none,0.000000,15,-131.704982,601.222012,2.250000,598.972012
1530,49.783938,50.313534,48.813534,51.813534,none,0.000000,15,-131.704982,615.054082,2.250000,612.804082
1531,50.126116,48.971446,47.471446,50.471446,sell_to_mm,47.471446,16,-179.176428,622.841426,2.560000,620.281426
1532,47.809324,47.994641,46.494641,49.494641,none,0.000000,16,-179.176428,585.772749,2.560000,583.212749
1533,48.555062,47.947429,46.447429,49.447429,none,0.000000,16,-179.176428,597.704564,2.560000,595.144564
1534,48.177881,48.926824,47.426824,50.426824,none,0.000000,16,-179.176428,591.669661,2.560000,589.109661
1535,48.220629,47.459193,45.959193,48.959193,none,0.000000,16,-179.176428,592.353640,2.560000,589.793640
1536,49.095591,49.057325,47.557325,50.557325,sell_to_mm,47.557325,17,-226.733753,607.891299,2.890000,605.001299
1537,49.797987,50.704695,49.204695,52.204695,none,0.000000,17,-226.733753,619.832022,2.890000,616.942022
1538,49.045588,49.564844,48.064844,51.064844,buy_from_mm,51.064844,16,-175.668909,609.060506,2.560000,606.500506
1539,49.852625,48.421558,46.921558,49.921558,none,0.000000,16,-175.668909,621.973086,2.560000,619.413086
1540,51.835015,52.080594,50.580594,53.580594,none,0.000000,16,-175.668909,653.691325,2.560000,651.131325
1541,51.810472,53.396085,51.896085,54.896085,sell_to_mm,51.896085,17,-227.564994,653.213022,2.890000,650.323022
1542,52.630541,51.960226,50.460226,53.460226,none,0.000000,17,-227.564994,667.154210,2.890000,664.264210
1543,52.431227,53.813022,52.313022,55.313022,sell_to_mm,52.313022,18,-279.878016,663.884070,3.240000,660.644070
1544,52.750923,53.268168,51.768168,54.768168,buy_from_mm,54.768168,17,-225.109848,671.655839,2.890000,668.765839
1545,51.037739,50.428306,48.928306,51.928306,none,0.000000,17,-225.109848,642.531721,2.890000,639.641721
1546,52.776683,51.639244,50.139244,53.139244,buy_from_mm,53.139244,16,-171.970604,672.456323,2.560000,669.896323
1547,52.943997,52.869250,51.369250,54.369250,none,0.000000,16,-171.970604,675.133348,2.560000,672.573348
1548,50.581157,50.470331,48.970331,51.970331,none,0.000000,16,-171.970604,637.327911,2.560000,634.767911
1549,50.842522,50.383422,48.883422,51.883422,none,0.000000,16,-171.970604,641.509752,2.560000,638.949752
1550,50.474812,48.338846,46.838846,49.838846,none,0.000000,16,-171.970604,635.626383,2.560000,633.066383
1551,48.584245,47.441022,45.941022,48.941022,buy_from_mm,48.941022,15,-123.029582,605.734101,2.250000,603.484101
1552,47.538679,47.882690,46.382690,49.382690,buy_from_mm,49.382690,14,-73.646892,591.894616,1.960000,589.934616
1553,48.283765,49.350494,47.850494,50.850494,none,0.000000,14,-73.646892,602.325821,1.960000,600.365821
1554,48.196340,49.362683,47.862683,50.862683,none,0.000000,14,-73.646892,601.101867,1.960000,599.141867
1555,49.492123,49.547076,48.047076,51.047076,none,0.000000,14,-73.646892,619.242832,1.960000,617.282832
1556,48.256631,48.466845,46.966845,49.966845,none,0.000000,14,-73.646892,601.945936,1.960000,599.985936
1557,47.893799,46.686232,45.186232,48.186232,none,0.000000,14,-73.646892,596.866299,1.960000,594.906299
1558,47.272649,48.400316,46.900316,49.900316,none,0.000000,14,-73.646892,588.170188,1.960000,586.210188
1559,49.034629,48.315496,46.815496,49.815496,buy_from_mm,49.815496,13,-23.831396,613.618775,1.690000,611.928775
1560,48.836441,48.165981,46.665981,49.665981,none,0.000000,13,-23.831396,611.042338,1.690000,609.352338
1561,46.673542,47.572608,46.072608,49.072608,none,0.000000,13,-23.831396,582.924647,1.690000,581.234647
1562,48.441026,48.640837,47.140837,50.140837,none,0.000000,13,-23.831396,605.901946,1.690000,604.211946
1563,49.793956,48.388021,46.888021,49.888021,none,0.000000,13,-23.831396,623.490035,1.690000,621.800035
1564,51.632659,51.071524,49.571524,52.571524,sell_to_mm,49.571524,14,-73.402920,649.454302,1.960000,647.494302
1565,50.824815,51.836020,50.336020,53.336020,none,0.000000,14,-73.402920,638.144495,1.960000,636.184495
1566,51.046755,53.353240,51.853240,54.853240,none,0.000000,14,-73.402920,641.251656,1.960000,639.291656
1567,48.825694,50.107443,48.607443,51.607443,none,0.000000,14,-73.402920,610.156792,1.960000,608.196792
1568,48.873568,49.443600,47.943600,50.943600,none,0.000000,14,-73.402920,610.827035,1.960000,608.867035
1569,48.695773,48.018329,46.518329,49.518329,none,0.000000,14,-73.402920,608.337901,1.960000,606.377901
1570,48.764481,49.387046,47.887046,50.887046,none,0.000000,14,-73.402920,609.299819,1.960000,607.339819
1571,49.271592,50.498010,48.998010,51.998010,none,0.000000,14,-73.402920,616.399370,1.960000,614.439370
1572,49.664932,49.599505,48.099505,51.099505,none,0.000000,14,-73.402920,621.906124,1.960000,619.946124
1573,48.543708,48.773856,47.273856,50.273856,none,0.000000,14,-73.402920,606.208997,1.960000,604.248997
1574,48.728128,47.876528,46.376528,49.376528,none,0.000000,14,-73.402920,608.790874,1.960000,606.830874
1575,49.035835,49.674836,48.174836,51.174836,none,0.000000,14,-73.402920,613.098772,1.960000,611.138772
1576,48.865749,48.377028,46.877028,49.877028,none,0.000000,14,-73.402920,610.717569,1.960000,608.757569
1577,49.134684,51.102868,49.602868,52.602868,sell_to_mm,49.602868,15,-123.005787,614.014468,2.250000,611.764468
1578,48.935883,49.465937,47.965937,50.965937,none,0.000000,15,-123.005787,611.032459,2.250000,608.782459
1579,49.947725,49.978228,48.478228,51.478228,sell_to_mm,48.478228,16,-171.484015,627.679578,2.560000,625.119578
1580,50.610923,50.494500,48.994500,51.994500,none,0.000000,16,-171.484015,638.290756,2.560000,635.730756
1581,50.493624,50.928024,49.428024,52.428024,none,0.000000,16,-171.484015,636.413965,2.560000,633.853965
1582,51.177045,51.221563,49.721563,52.721563,sell_to_mm,49.721563,17,-221.205578,648.804189,2.890000,645.914189
1583,50.970564,50.484908,48.984908,51.984908,none,0.000000,17,-221.205578,645.294010,2.890000,642.404010
1584,51.696408,50.868093,49.368093,52.368093,none,0.000000,17,-221.205578,657.633360,2.890000,654.743360
1585,52.372522,52.158981,50.658981,53.658981,none,0.000000,17,-221.205578,669.127300,2.890000,666.237300
1586,52.161039,51.577154,50.077154,53.077154,buy_from_mm,53.077154,16,-168.128424,666.448206,2.560000,663.888206
1587,54.219113,53.430646,51.930646,54.930646,none,0.000000,16,-168.128424,699.377387,2.560000,696.817387
1588,54.485475,54.733875,53.233875,56.233875,none,0.000000,16,-168.128424,703.639178,2.560000,701.079178
1589,55.640074,56.746389,55.246389,58.246389,none,0.000000,16,-168.128424,722.112763,2.560000,719.552763
1590,56.116985,53.669006,52.169006,55.169006,buy_from_mm,55.169006,15,-112.959419,728.795354,2.250000,726.545354
1591,57.926690,59.430353,57.930353,60.930353,none,0.000000,15,-112.959419,755.940934,2.250000,753.690934
1592,58.123891,58.291190,56.791190,59.791190,buy_from_mm,59.791190,14,-53.168229,760.566244,1.960000,758.606244
1593,58.506370,58.265437,56.765437,59.765437,none,0.000000,14,-53.168229,765.920944,1.960000,763.960944
1594,59.883310,60.445969,58.945969,61.945969,none,0.000000,14,-53.168229,785.198110,1.960000,783.238110
1595,59.713926,60.210976,58.710976,61.710976,none,0.000000,14,-53.168229,782.826729,1.960000,780.866729
1596,59.775692,60.767543,59.267543,62.267543,none,0.000000,14,-53.168229,783.691465,1.960000,781.731465
1597,57.751822,58.820290,57.320290,60.320290,none,0.000000,14,-53.168229,755.357282,1.960000,753.397282
1598,55.811963,56.875509,55.375509,58.375509,buy_from_mm,58.375509,13,5.207280,730.762796,1.690000,729.072796
1599,54.580398,55.253984,53.753984,56.753984,none,0.000000,13,5.207280,714.752459,1.690000,713.062459
1600,55.505445,55.780825,54.280825,57.280825,none,0.000000,13,5.207280,726.778061,1.690000,725.088061
1601,54.029208,53.869464,52.369464,55.369464,none,0.000000,13,5.207280,707.586977,1.690000,705.896977
1602,52.684273,54.252412,52.752412,55.752412,sell_to_mm,52.752412,14,-47.545132,690.034695,1.960000,688.074695
1603,51.183713,50.470820,48.970820,51.970820,none,0.000000,14,-47.545132,669.026845,1.960000,667.066845
1604,53.163065,52.915298,51.415298,54.415298,sell_to_mm,51.415298,15,-98.960430,698.485551,2.250000,696.235551
1605,54.122315,53.200408,51.700408,54.700408,none,0.000000,15,-98.960430,712.874297,2.250000,710.624297
1606,54.053087,52.832065,51.332065,54.332065,none,0.000000,15,-98.960430,711.835870,2.250000,709.585870
1607,54.410844,54.397187,52.897187,55.897187,none,0.000000,15,-98.960430,717.202223,2.250000,714.952223
1608,52.729827,52.236399,50.736399,53.736399,none,0.000000,15,-98.960430,691.986973,2.250000,689.736973
1609,50.892074,51.150536,49.650536,52.650536,none,0.000000,15,-98.960430,664.420686,2.250000,662.170686
1610,51.009913,49.332161,47.832161,50.832161,none,0.000000,15,-98.960430,666.188259,2.250000,663.938259
1611,52.375696,50.794754,49.294754,52.294754,sell_to_mm,49.294754,16,-148.255184,689.755945,2.560000,687.195945
1612,52.499992,52.576316,51.076316,54.076316,none,0.000000,16,-148.255184,691.744684,2.560000,689.184684
1613,52.268364,50.843280,49.343280,52.343280,none,0.000000,16,-148.255184,688.038640,2.560000,685.478640
1614,51.594327,50.780947,49.280947,52.280947,none,0.000000,16,-148.255184,677.254047,2.560000,674.694047
1615,52.152310,51.364424,49.864424,52.864424,none,0.000000,16,-148.255184,686.181778,2.560000,683.621778
1616,50.880548,51.261696,49.761696,52.761696,sell_to_mm,49.761696,17,-198.016880,666.952428,2.890000,664.062428
1617,51.386974,50.946839,49.446839,52.446839,buy_from_mm,52.446839,16,-145.570041,676.621537,2.560000,674.061537
1618,51.685399,51.017073,49.517073,52.517073,none,0.000000,16,-145.570041,681.396336,2.560000,678.836336
1619,52.152573,51.389706,49.889706,52.889706,none,0.000000,16,-145.570041,688.871130,2.560000,686.311130
1620,52.072398,53.432340,51.932340,54.932340,buy_from_mm,54.932340,15,-90.637701,690.448266,2.250000,688.198266
1621,52.218476,53.269793,51.769793,54.769793,none,0.000000,15,-90.637701,692.639440,2.250000,690.389440
1622,52.385483,51.199617,49.699617,52.699617,none,0.000000,15,-90.637701,695.144538,2.250000,692.894538
1623,52.901481,53.928000,52.428000,55.428000,sell_to_mm,52.428000,16,-143.065701,703.357997,2.560000,700.797997
1624,53.781407,52.975948,51.475948,54.475948,none,0.000000,16,-143.065701,717.436809,2.560000,714.876809
1625,56.063349,56.876439,55.376439,58.376439,none,0.000000,16,-143.065701,753.947884,2.560000,751.387884
1626,57.033508,57.490588,55.990588,58.990588,none,0.000000,16,-143.065701,769.470431,2.560000,766.910431
1627,58.801592,57.890967,56.390967,59.390967,none,0.000000,16,-143.065701,797.759766,2.560000,795.199766
1628,58.439593,60.111869,58.611869,61.611869,none,0.000000,16,-143.065701,791.967790,2.560000,789.407790
1629,58.966467,56.931285,55.431285,58.431285,buy_from_mm,58.431285,15,-84.634416,799.862590,2.250000,797.612590
1630,57.526609,57.506258,56.006258,59.006258,none,0.000000,15,-84.634416,778.264721,2.250000,776.014721
1631,56.873143,55.445773,53.945773,56.945773,none,0.000000,15,-84.634416,768.462734,2.250000,766.212734
1632,56.576723,58.338164,56.838164,59.838164,none,0.000000,15,-84.634416,764.016436,2.250000,761.766436
1633,58.050127,57.859512,56.359512,59.359512,none,0.000000,15,-84.634416,786.117493,2.250000,783.867493
1634,57.454769,58.333993,56.833993,59.833993,none,0.000000,15,-84.634416,777.187114,2.250000,774.937114
1635,58.037375,57.222629,55.722629,58.722629,none,0.000000,15,-84.634416,785.926214,2.250000,783.676214
1636,57.895427,58.781700,57.281700,60.281700,sell_to_mm,57.281700,16,-141.916116,784.410722,2.560000,781.850722
1637,56.357510,55.994253,54.494253,57.494253,none,0.000000,16,-141.916116,759.804047,2.560000,757.244047
1638,55.516978,54.450858,52.950858,55.950858,none,0.000000,16,-141.916116,746.355531,2.560000,743.795531
1639,54.527524,55.199920,53.699920,56.699920,none,0.000000,16,-141.916116,730.524265,2.560000,727.964265
1640,55.168651,56.094044,54.594044,57.594044,none,0.000000,16,-141.916116,740.782308,2.560000,738.222308
1641,57.463152,58.373087,56.873087,59.873087,none,0.000000,16,-141.916116,777.494314,2.560000,774.934314
1642,57.879959,59.020386,57.520386,60.520386,none,0.000000,16,-141.916116,784.163226,2.560000,781.603226
1643,58.760015,59.465624,57.965624,60.965624,none,0.000000,16,-141.916116,798.244128,2.560000,795.684128
1644,59.562826,58.315100,56.815100,59.815100,none,0.000000,16,-141.916116,811.089103,2.560000,808.529103
1645,59.512510,56.953275,55.453275,58.453275,buy_from_mm,58.453275,15,-83.462840,809.224812,2.250000,806.974812
1646,58.019422,58.785889,57.285889,60.285889,none,0.000000,15,-83.462840,786.828488,2.250000,784.578488
