file,strategy,noise,run,final_pnl,final_risk_adj_pnl,max_abs_inventory,num_trades,avg_edge_per_trade
data/fixed_noise_2_run_28.csv,fixed,2.0,28,-1085.904789,-1116.154789,57,877,-0.33853448004560954
data/fixed_noise_2_run_29.csv,fixed,2.0,29,-1277.982173,-1278.982173,31,840,-0.31926887142857163
data/fixed_noise_2_run_3.csv,fixed,2.0,3,-2169.040002,-2205.040002,75,856,-0.32827718925233595
data/fixed_noise_2_run_30.csv,fixed,2.0,30,-93.586993,-93.946993,24,870,-0.30885173793103454
data/fixed_noise_2_run_31.csv,fixed,2.0,31,-535.684106,-537.934106,21,873,-0.311314092783505
data/fixed_noise_2_run_32.csv,fixed,2.0,32,107.318354,103.318354,36,858,-0.41195992540792586
data/fixed_noise_2_run_33.csv,fixed,2.0,33,810.101361,806.861361,31,870,-0.28132240574712636
data/fixed_noise_2_run_34.csv,fixed,2.0,34,-173.242521,-187.682521,41,864,-0.2981768310185183
data/fixed_noise_2_run_35.csv,fixed,2.0,35,130.665532,129.855532,32,895,-0.3806760949720668
data/fixed_noise_2_run_36.csv,fixed,2.0,36,78.671181,75.061181,25,837,-0.3057959892473118
data/fixed_noise_2_run_37.csv,fixed,2.0,37,-436.986066,-437.346066,16,806,-0.4139978399503719
data/fixed_noise_2_run_38.csv,fixed,2.0,38,-655.969957,-657.179957,41,837,-0.3359605890083627
data/fixed_noise_2_run_39.csv,fixed,2.0,39,-792.700815,-797.990815,26,887,-0.30093151634723836
data/fixed_noise_2_run_4.csv,fixed,2.0,4,59.13171,55.13171,25,870,-0.18153128275862074
data/fixed_noise_2_run_40.csv,fixed,2.0,40,-899.213772,-919.463772,57,835,-0.4294388131736532
data/fixed_noise_2_run_41.csv,fixed,2.0,41,30.060419,14.060419,54,882,-0.26153985374149663
data/fixed_noise_2_run_42.csv,fixed,2.0,42,1389.833456,1376.873456,47,826,-0.19588007627118653
data/fixed_noise_2_run_43.csv,fixed,2.0,43,-190.281473,-198.691473,29,855,-0.3550766233918125
data/fixed_noise_2_run_44.csv,fixed,2.0,44,-2743.114427,-2751.524427,40,817,-0.38909825458996344
data/fixed_noise_2_run_45.csv,fixed,2.0,45,85.649964,85.009964,17,876,-0.2951032340182649
data/fixed_noise_2_run_46.csv,fixed,2.0,46,-48.560956,-63.770956,46,863,-0.27830606257242163
data/fixed_noise_2_run_47.csv,fixed,2.0,47,-81.809984,-87.099984,24,863,-0.378562390498262
data/fixed_noise_2_run_48.csv,fixed,2.0,48,192.123467,191.483467,21,866,-0.4313233083140868
data/fixed_noise_2_run_49.csv,fixed,2.0,49,286.934402,280.174402,40,886,-0.3615320000000002
data/fixed_noise_2_run_5.csv,fixed,2.0,5,-421.599063,-428.889063,31,837,-0.2737475555555555
data/fixed_noise_2_run_50.csv,fixed,2.0,50,-326.006108,-330.416108,22,859,-0.2764987101280561
data/fixed_noise_2_run_6.csv,fixed,2.0,6,55.685405,49.925405,27,864,-0.2643258182870369
data/fixed_noise_2_run_7.csv,fixed,2.0,7,38.179906,36.219906,23,846,-0.2270789574468084
data/fixed_noise_2_run_8.csv,fixed,2.0,8,-717.932541,-727.542541,38,849,-0.29193911189634847
